pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
6,0,6,2019-06-18,cloudy,nan
19,11,8,2019-02-12,rain,nan
313,130,183,2019-09-03,clear-day,nan
1,0,1,2019-05-27,clear-night,Memorial Day
7,0,7,2019-03-20,partly-cloudy-night,nan
1498,780,718,2019-02-18,partly-cloudy-day,Presidents' Day (regional holiday)
7,5,2,2019-04-21,cloudy,Easter Sunday
0,0,0,2019-04-02,clear-night,nan
300,187,113,2019-03-09,clear-day,nan
1566,619,947,2019-05-23,partly-cloudy-day,nan
2225,831,1394,2019-08-18,partly-cloudy-day,nan
1913,860,1053,2019-09-09,partly-cloudy-day,nan
771,350,421,2019-10-31,cloudy,Halloween
92,91,1,2019-10-16,rain,nan
2293,1034,1259,2019-08-05,partly-cloudy-day,nan
1647,725,922,2019-09-24,partly-cloudy-day,nan
94,46,48,2019-05-05,rain,Cinco de Mayo
0,0,0,2019-09-04,partly-cloudy-night,nan
0,0,0,2019-06-10,clear-night,nan
2,0,2,2019-01-23,clear-night,nan
2452,1179,1273,2019-08-09,partly-cloudy-day,nan
2,0,2,2019-09-20,clear-night,nan
1,0,1,2019-11-29,clear-night,Black Friday
0,0,0,2019-11-22,partly-cloudy-night,nan
16,14,2,2019-04-20,rain,nan
602,220,382,2019-08-07,cloudy,nan
2229,960,1269,2019-08-02,partly-cloudy-day,nan
0,0,0,2019-10-14,cloudy,Columbus Day (regional holiday)
468,264,204,2019-09-01,partly-cloudy-day,nan
1736,722,1014,2019-10-17,cloudy,nan
1340,547,793,2019-02-09,clear-day,nan
19,10,9,2019-04-21,clear-night,Easter Monday
415,415,0,2019-02-19,clear-day,nan
1,0,1,2019-10-24,clear-night,nan
0,0,0,2019-02-02,clear-night,nan
0,0,0,2019-02-03,clear-night,nan
772,357,415,2019-06-16,partly-cloudy-day,nan
665,372,293,2019-01-25,partly-cloudy-day,nan
894,487,407,2019-04-08,cloudy,nan
0,0,0,2019-03-25,cloudy,nan
1298,618,680,2019-09-02,rain,Labor Day
0,0,0,2019-06-03,partly-cloudy-night,nan
1297,617,680,2019-06-29,partly-cloudy-day,nan
34,33,1,2019-04-11,cloudy,nan
914,512,402,2019-04-16,clear-day,nan
687,366,321,2019-12-26,partly-cloudy-day,nan
794,394,400,2019-01-28,clear-day,nan
1,0,1,2019-10-25,clear-night,nan
0,0,0,2019-01-30,clear-night,nan
17,17,0,2019-12-29,rain,nan
6,4,2,2019-02-07,rain,nan
202,141,61,2019-10-22,rain,nan
2675,1194,1481,2019-11-10,partly-cloudy-day,nan
3,0,3,2019-07-28,clear-night,nan
0,0,0,2019-03-14,partly-cloudy-night,nan
1111,577,534,2019-11-22,partly-cloudy-day,nan
1628,869,759,2019-07-10,partly-cloudy-day,nan
2866,1285,1581,2019-09-28,partly-cloudy-day,nan
1713,668,1045,2019-11-15,clear-day,nan
0,0,0,2019-11-07,clear-night,nan
1250,601,649,2019-02-08,partly-cloudy-day,nan
18,12,6,2019-05-02,cloudy,nan
2,0,2,2019-12-10,cloudy,nan
1607,715,892,2019-07-09,clear-day,nan
3316,1522,1794,2019-06-08,clear-day,nan
455,259,196,2019-10-26,clear-day,nan
830,450,380,2019-03-30,partly-cloudy-day,nan
1,0,1,2019-04-04,clear-night,nan
216,111,105,2019-03-31,partly-cloudy-day,nan
2273,905,1368,2019-11-29,clear-day,Black Friday
4,3,1,2019-09-16,clear-night,nan
74,63,11,2019-09-29,clear-night,nan
104,90,14,2019-02-07,cloudy,nan
0,0,0,2019-07-25,partly-cloudy-night,nan
57,43,14,2019-02-23,clear-night,nan
2014,821,1193,2019-10-15,clear-day,nan
263,158,105,2019-03-21,cloudy,nan
507,300,207,2019-01-13,partly-cloudy-day,nan
5,3,2,2019-12-09,rain,nan
2912,1204,1708,2019-08-25,partly-cloudy-day,nan
494,170,324,2019-09-23,partly-cloudy-day,nan
376,162,214,2019-05-03,cloudy,nan
132,59,73,2019-02-17,clear-day,nan
2553,1247,1306,2019-04-24,clear-day,nan
906,419,487,2019-03-10,cloudy,Daylight Saving Time starts
0,0,0,2019-01-18,cloudy,nan
1,0,1,2019-12-14,rain,nan
2163,1029,1134,2019-06-02,partly-cloudy-day,nan
972,443,529,2019-10-16,cloudy,nan
477,234,243,2019-03-25,partly-cloudy-day,nan
2508,1092,1416,2019-10-04,partly-cloudy-day,nan
0,0,0,2019-02-10,clear-night,nan
8,5,3,2019-02-01,clear-night,nan
1764,926,838,2019-06-04,clear-day,nan
8,7,1,2019-03-13,cloudy,nan
0,0,0,2019-08-25,partly-cloudy-night,nan
0,0,0,2019-12-07,clear-night,nan
0,0,0,2019-09-21,clear-night,nan
42,30,12,2019-08-10,clear-night,nan
61,56,5,2019-12-13,rain,nan
9,5,4,2019-03-04,cloudy,nan
0,0,0,2019-02-22,clear-night,nan
74,61,13,2019-01-26,partly-cloudy-night,nan
1372,657,715,2019-03-15,partly-cloudy-day,nan
2458,1302,1156,2019-08-17,cloudy,nan
49,43,6,2019-07-24,partly-cloudy-night,nan
1584,677,907,2019-04-11,cloudy,nan
1929,1059,870,2019-05-11,partly-cloudy-day,nan
61,45,16,2019-09-07,partly-cloudy-night,nan
1,0,1,2019-09-10,partly-cloudy-night,nan
952,576,376,2019-08-27,partly-cloudy-day,nan
2490,1071,1419,2019-10-21,clear-day,nan
0,0,0,2019-06-22,clear-night,nan
1,0,1,2019-08-19,partly-cloudy-night,nan
0,0,0,2019-01-18,cloudy,nan
0,0,0,2019-09-29,clear-night,nan
1556,542,1014,2019-04-22,cloudy,Easter Monday
1362,679,683,2019-04-01,clear-day,nan
0,0,0,2019-07-16,clear-night,nan
179,87,92,2019-01-22,clear-day,nan
119,46,73,2019-07-06,partly-cloudy-day,nan
3,0,3,2019-12-27,cloudy,nan
0,0,0,2019-09-26,clear-night,nan
41,21,20,2019-07-15,clear-night,nan
91,54,37,2019-02-17,cloudy,nan
0,0,0,2019-03-15,clear-night,nan
2863,1369,1494,2019-04-06,clear-day,nan
0,0,0,2019-01-18,partly-cloudy-night,nan
1931,943,988,2019-07-02,partly-cloudy-day,nan
6,0,6,2019-11-12,clear-night,nan
0,0,0,2019-09-09,partly-cloudy-night,nan
6,0,6,2019-07-23,rain,nan
1838,872,966,2019-04-10,clear-day,nan
3,2,1,2019-05-02,nan,nan
0,0,0,2019-03-12,partly-cloudy-night,nan
24,11,13,2019-12-04,cloudy,nan
43,39,4,2019-11-24,cloudy,nan
5,3,2,2019-08-31,clear-night,nan
1064,578,486,2019-03-12,clear-day,nan
2788,1274,1514,2019-03-23,clear-day,nan
2725,1215,1510,2019-04-17,partly-cloudy-day,nan
1500,780,720,2019-06-21,rain,nan
1284,628,656,2019-07-01,clear-day,nan
14,13,1,2019-02-15,partly-cloudy-night,nan
17,5,12,2019-05-20,clear-night,nan
38,27,11,2019-07-12,partly-cloudy-night,nan
438,227,211,2019-10-12,cloudy,nan
39,38,1,2019-04-04,clear-night,nan
131,67,64,2019-06-11,rain,nan
129,67,62,2019-04-05,rain,nan
1289,651,638,2019-03-26,clear-day,nan
3,2,1,2019-08-03,clear-night,nan
41,0,41,2019-10-25,clear-night,nan
641,318,323,2019-10-03,rain,nan
789,368,421,2019-03-31,cloudy,nan
0,0,0,2019-08-29,partly-cloudy-night,nan
1846,1005,841,2019-05-07,clear-day,nan
269,114,155,2019-08-12,partly-cloudy-day,nan
2226,1165,1061,2019-04-18,partly-cloudy-day,nan
40,0,40,2019-11-09,clear-night,nan
652,365,287,2019-10-01,cloudy,nan
1131,660,471,2019-12-22,clear-day,nan
1067,623,444,2019-07-11,clear-day,nan
266,182,84,2019-09-06,rain,nan
132,126,6,2019-11-07,rain,nan
1518,792,726,2019-12-08,clear-day,nan
2168,1140,1028,2019-05-16,partly-cloudy-day,nan
28,23,5,2019-04-24,clear-night,nan
167,68,99,2019-02-20,cloudy,nan
0,0,0,2019-08-16,partly-cloudy-night,nan
282,103,179,2019-02-04,clear-day,nan
366,154,212,2019-05-31,clear-day,nan
0,0,0,2019-10-07,cloudy,nan
1479,772,707,2019-09-16,cloudy,nan
0,0,0,2019-06-12,clear-night,nan
2,0,2,2019-12-30,rain,nan
3,0,3,2019-10-20,clear-night,nan
3,0,3,2019-07-23,cloudy,nan
21,14,7,2019-08-08,partly-cloudy-night,nan
2074,1033,1041,2019-08-18,partly-cloudy-day,nan
12,6,6,2019-01-07,partly-cloudy-night,nan
0,0,0,2019-10-29,cloudy,nan
2593,1399,1194,2019-05-26,clear-day,nan
497,233,264,2019-12-12,clear-day,nan
1380,570,810,2019-11-19,cloudy,nan
4,3,1,2019-12-01,cloudy,nan
5,0,5,2019-03-03,snow,nan
381,145,236,2019-01-02,partly-cloudy-day,nan
1,0,1,2019-10-26,partly-cloudy-night,nan
1436,871,565,2019-01-02,clear-day,nan
76,63,13,2019-11-23,clear-night,nan
23,20,3,2019-09-01,partly-cloudy-night,Labor Day
1652,734,918,2019-09-11,partly-cloudy-day,nan
0,0,0,2019-02-23,clear-night,nan
0,0,0,2019-01-07,clear-night,nan
25,12,13,2019-08-06,partly-cloudy-night,nan
266,110,156,2019-05-09,partly-cloudy-day,nan
1,0,1,2019-11-18,cloudy,nan
1397,614,783,2019-07-03,partly-cloudy-day,Independence Day
1,0,1,2019-04-18,cloudy,nan
442,162,280,2019-06-27,clear-day,nan
0,0,0,2019-07-04,partly-cloudy-night,nan
410,170,240,2019-03-14,partly-cloudy-night,nan
2227,1104,1123,2019-05-03,cloudy,nan
5,3,2,2019-01-12,clear-night,nan
754,433,321,2019-12-30,rain,nan
1011,405,606,2019-03-06,partly-cloudy-day,nan
39,16,23,2019-03-22,rain,nan
9,3,6,2019-06-16,cloudy,Father's Day
1,0,1,2019-10-02,partly-cloudy-night,nan
1,0,1,2019-10-11,cloudy,nan
2,1,1,2019-11-20,cloudy,nan
8,0,8,2019-12-04,cloudy,nan
10,5,5,2019-07-14,clear-night,nan
367,165,202,2019-09-06,partly-cloudy-day,nan
397,178,219,2019-07-30,clear-day,nan
121,52,69,2019-12-20,clear-night,nan
35,11,24,2019-01-02,cloudy,nan
1531,713,818,2019-02-05,clear-day,nan
1,0,1,2019-07-10,clear-night,nan
0,0,0,2019-10-20,cloudy,nan
99,88,11,2019-05-16,clear-night,nan
292,181,111,2019-01-07,partly-cloudy-night,nan
1,0,1,2019-09-18,clear-night,nan
6,5,1,2019-12-04,cloudy,nan
0,0,0,2019-07-03,cloudy,nan
62,61,1,2019-12-24,clear-night,Christmas Day
911,392,519,2019-11-13,clear-day,nan
4,2,2,2019-09-08,partly-cloudy-night,nan
0,0,0,2019-02-01,clear-night,nan
1,0,1,2019-11-09,clear-night,nan
3,0,3,2019-05-18,partly-cloudy-night,nan
0,0,0,2019-01-12,partly-cloudy-day,nan
2274,1014,1260,2019-01-03,partly-cloudy-day,nan
1827,872,955,2019-08-22,partly-cloudy-day,nan
48,23,25,2019-07-19,clear-night,nan
2100,855,1245,2019-09-27,clear-day,nan
1893,1071,822,2019-04-19,partly-cloudy-day,nan
1262,660,602,2019-06-05,partly-cloudy-day,nan
1337,665,672,2019-03-26,clear-day,nan
1,0,1,2019-02-24,rain,nan
0,0,0,2019-11-15,clear-night,nan
1680,744,936,2019-06-30,partly-cloudy-day,nan
1973,930,1043,2019-05-21,clear-day,nan
1324,542,782,2019-03-08,clear-day,nan
5,1,4,2019-06-12,clear-night,nan
10,8,2,2019-09-26,clear-night,nan
23,16,7,2019-06-09,clear-night,nan
2107,1083,1024,2019-05-27,clear-day,Memorial Day
673,398,275,2019-10-30,cloudy,nan
3214,1530,1684,2019-10-26,partly-cloudy-day,nan
63,46,17,2019-04-24,clear-night,nan
11,9,2,2019-09-05,clear-night,nan
1,0,1,2019-07-29,rain,nan
2514,1088,1426,2019-07-07,partly-cloudy-day,nan
11,6,5,2019-01-24,partly-cloudy-night,nan
1579,820,759,2019-07-10,partly-cloudy-day,nan
13,13,0,2019-06-08,clear-night,nan
190,84,106,2019-11-28,cloudy,Thanksgiving Day
1,0,1,2019-09-03,partly-cloudy-night,nan
259,96,163,2019-08-01,partly-cloudy-day,nan
1838,801,1037,2019-11-04,clear-day,nan
2,0,2,2019-11-26,clear-night,nan
1407,649,758,2019-09-30,cloudy,nan
1746,807,939,2019-09-17,clear-day,nan
1939,869,1070,2019-07-01,partly-cloudy-day,nan
740,387,353,2019-01-08,cloudy,nan
28,19,9,2019-08-19,partly-cloudy-night,nan
200,149,51,2019-01-29,cloudy,nan
1,0,1,2019-09-07,cloudy,nan
108,47,61,2019-01-13,cloudy,nan
2130,917,1213,2019-05-10,partly-cloudy-day,nan
1,0,1,2019-12-30,rain,nan
1239,694,545,2019-05-17,clear-day,nan
192,109,83,2019-06-27,clear-night,nan
373,135,238,2019-11-21,clear-day,nan
556,190,366,2019-01-01,partly-cloudy-night,New Year's Day
2128,816,1312,2019-10-24,clear-day,nan
269,127,142,2019-08-24,partly-cloudy-day,nan
2270,1033,1237,2019-06-03,partly-cloudy-day,nan
748,378,370,2019-06-17,cloudy,nan
16,9,7,2019-12-13,cloudy,nan
1,0,1,2019-06-04,clear-night,nan
1608,756,852,2019-01-19,cloudy,nan
2702,1186,1516,2019-09-28,partly-cloudy-day,nan
1,0,1,2019-08-27,partly-cloudy-night,nan
4,1,3,2019-07-07,partly-cloudy-night,nan
0,0,0,2019-09-10,cloudy,nan
28,22,6,2019-08-28,rain,nan
1479,686,793,2019-09-25,partly-cloudy-day,nan
1495,710,785,2019-05-01,cloudy,nan
42,21,21,2019-02-27,cloudy,nan
1052,420,632,2019-07-11,rain,nan
2700,1166,1534,2019-10-28,cloudy,nan
1785,800,985,2019-11-26,clear-day,nan
167,47,120,2019-07-01,partly-cloudy-night,nan
62,32,30,2019-11-12,partly-cloudy-night,nan
0,0,0,2019-04-16,clear-night,nan
2,0,2,2019-01-07,clear-night,nan
1548,662,886,2019-05-22,clear-day,nan
0,0,0,2019-11-04,clear-night,nan
0,0,0,2019-04-10,partly-cloudy-night,nan
2916,1314,1602,2019-07-05,partly-cloudy-day,nan
6,1,5,2019-08-14,cloudy,nan
18,16,2,2019-03-09,clear-night,nan
14,6,8,2019-10-02,cloudy,nan
2,0,2,2019-07-30,clear-night,nan
816,395,421,2019-01-16,cloudy,nan
366,181,185,2019-01-31,clear-day,nan
171,93,78,2019-08-22,partly-cloudy-night,nan
611,333,278,2019-08-07,partly-cloudy-day,nan
249,104,145,2019-05-20,partly-cloudy-day,nan
219,100,119,2019-05-12,rain,Mother's Day
1,0,1,2019-04-05,clear-night,nan
1,0,1,2019-01-26,clear-night,nan
5,0,5,2019-12-20,clear-night,nan
260,96,164,2019-01-25,cloudy,nan
354,139,215,2019-05-28,partly-cloudy-day,nan
0,0,0,2019-02-18,cloudy,Presidents' Day (regional holiday)
81,65,16,2019-09-13,partly-cloudy-night,nan
1373,790,583,2019-07-19,cloudy,nan
53,16,37,2019-12-09,rain,nan
20,9,11,2019-07-25,clear-night,nan
77,73,4,2019-11-05,clear-night,nan
0,0,0,2019-11-14,clear-night,nan
1022,624,398,2019-08-26,partly-cloudy-day,nan
373,184,189,2019-11-24,rain,nan
419,173,246,2019-08-27,partly-cloudy-day,nan
287,154,133,2019-06-18,rain,nan
3220,1277,1943,2019-06-22,partly-cloudy-day,nan
0,0,0,2019-11-18,cloudy,nan
2057,1122,935,2019-10-26,clear-day,nan
1751,832,919,2019-05-21,clear-day,nan
2,2,0,2019-12-25,clear-night,Christmas Day
1863,1023,840,2019-09-17,clear-day,nan
0,0,0,2019-02-04,clear-night,nan
37,36,1,2019-11-30,clear-night,nan
49,15,34,2019-01-24,rain,nan
2128,978,1150,2019-06-16,partly-cloudy-day,Father's Day
737,369,368,2019-02-07,cloudy,nan
367,183,184,2019-11-23,clear-day,nan
1452,698,754,2019-02-10,partly-cloudy-day,nan
0,0,0,2019-05-22,clear-night,nan
153,66,87,2019-07-28,partly-cloudy-day,nan
230,147,83,2019-05-13,rain,nan
36,14,22,2019-06-05,partly-cloudy-night,nan
175,58,117,2019-01-08,cloudy,nan
863,441,422,2019-05-28,partly-cloudy-day,nan
149,61,88,2019-07-14,clear-day,nan
490,279,211,2019-03-18,clear-day,nan
480,267,213,2019-08-16,partly-cloudy-day,nan
1073,527,546,2019-10-31,cloudy,Halloween
328,162,166,2019-11-18,cloudy,nan
0,0,0,2019-11-13,clear-night,nan
191,68,123,2019-06-30,partly-cloudy-night,nan
1401,662,739,2019-06-27,clear-day,nan
0,0,0,2019-09-05,partly-cloudy-night,nan
3,2,1,2019-11-28,clear-night,Black Friday
7,2,5,2019-05-08,clear-night,nan
43,39,4,2019-11-27,cloudy,nan
2620,1172,1448,2019-04-24,clear-day,nan
1026,441,585,2019-01-18,cloudy,nan
1978,852,1126,2019-09-27,clear-day,nan
2944,1107,1837,2019-05-04,partly-cloudy-day,nan
4,3,1,2019-02-11,clear-night,nan
8,0,8,2019-01-29,cloudy,nan
188,101,87,2019-05-19,partly-cloudy-day,nan
2820,1287,1533,2019-09-28,partly-cloudy-day,nan
6,2,4,2019-06-07,clear-night,nan
8,6,2,2019-01-08,cloudy,nan
21,0,21,2019-03-21,cloudy,nan
211,155,56,2019-01-17,partly-cloudy-night,nan
0,0,0,2019-12-11,rain,nan
2637,1368,1269,2019-06-01,clear-day,nan
1953,1061,892,2019-05-15,partly-cloudy-day,nan
255,99,156,2019-03-27,clear-day,nan
0,0,0,2019-10-16,clear-night,nan
585,325,260,2019-06-13,cloudy,nan
0,0,0,2019-04-30,cloudy,nan
1380,713,667,2019-05-03,cloudy,nan
90,57,33,2019-11-15,clear-night,nan
31,20,11,2019-10-14,partly-cloudy-night,Columbus Day (regional holiday)
0,0,0,2019-08-17,cloudy,nan
1665,878,787,2019-04-03,clear-day,nan
3,0,3,2019-05-27,partly-cloudy-night,Memorial Day
372,190,182,2019-01-31,clear-day,nan
1,0,1,2019-10-17,cloudy,nan
1437,656,781,2019-03-20,clear-day,nan
26,11,15,2019-01-01,partly-cloudy-night,New Year's Day
405,227,178,2019-10-03,rain,nan
1580,803,777,2019-06-28,partly-cloudy-day,nan
138,60,78,2019-03-09,clear-day,nan
226,117,109,2019-03-16,partly-cloudy-day,nan
2682,1258,1424,2019-08-17,partly-cloudy-day,nan
104,41,63,2019-07-07,cloudy,nan
11,7,4,2019-02-27,cloudy,nan
63,18,45,2019-06-19,cloudy,nan
2418,1073,1345,2019-05-16,partly-cloudy-day,nan
82,38,44,2019-01-02,cloudy,nan
273,144,129,2019-11-09,clear-day,nan
2381,1141,1240,2019-10-14,clear-day,Columbus Day (regional holiday)
101,65,36,2019-09-29,clear-night,nan
2183,1020,1163,2019-06-08,partly-cloudy-day,nan
1180,610,570,2019-08-13,partly-cloudy-day,nan
235,118,117,2019-04-27,clear-day,nan
1308,563,745,2019-09-12,cloudy,nan
3,1,2,2019-05-16,partly-cloudy-night,nan
1648,708,940,2019-10-17,cloudy,nan
14,11,3,2019-04-27,partly-cloudy-night,nan
10,0,10,2019-09-21,clear-night,nan
0,0,0,2019-02-05,partly-cloudy-night,nan
3064,1375,1689,2019-05-27,partly-cloudy-day,Memorial Day
27,23,4,2019-02-16,clear-night,nan
35,33,2,2019-12-14,cloudy,nan
9,6,3,2019-04-16,clear-night,nan
1,0,1,2019-07-31,clear-night,nan
2977,1405,1572,2019-09-01,partly-cloudy-day,nan
168,71,97,2019-11-19,cloudy,nan
1154,660,494,2019-05-31,clear-day,nan
3639,1400,2239,2019-04-21,partly-cloudy-day,Easter Sunday
255,102,153,2019-06-23,clear-day,nan
629,363,266,2019-10-29,cloudy,nan
1756,784,972,2019-04-29,clear-day,nan
0,0,0,2019-12-17,rain,nan
14,13,1,2019-12-19,cloudy,nan
0,0,0,2019-04-02,clear-night,nan
1642,813,829,2019-12-24,clear-day,Christmas Eve
0,0,0,2019-02-02,clear-night,nan
4,2,2,2019-05-05,rain,Cinco de Mayo
1,0,1,2019-07-31,clear-night,nan
1197,541,656,2019-06-29,partly-cloudy-day,nan
17,17,0,2019-11-08,clear-night,nan
2454,1246,1208,2019-03-09,clear-day,nan
342,202,140,2019-10-22,rain,nan
29,17,12,2019-10-25,clear-night,nan
725,462,263,2019-08-02,partly-cloudy-day,nan
3594,1665,1929,2019-05-25,partly-cloudy-day,nan
2145,829,1316,2019-04-14,cloudy,nan
1609,855,754,2019-04-10,clear-day,nan
1764,766,998,2019-05-09,cloudy,nan
0,0,0,2019-01-12,cloudy,nan
0,0,0,2019-12-06,clear-night,nan
809,452,357,2019-09-04,partly-cloudy-day,nan
1,0,1,2019-10-28,cloudy,nan
1,0,1,2019-10-02,partly-cloudy-night,nan
6,6,0,2019-12-29,rain,nan
9,0,9,2019-03-15,clear-night,nan
1,0,1,2019-11-19,partly-cloudy-night,nan
0,0,0,2019-11-06,clear-night,nan
4,0,4,2019-03-10,cloudy,Daylight Saving Time starts
1499,736,763,2019-06-05,partly-cloudy-day,nan
588,275,313,2019-05-09,partly-cloudy-day,nan
1897,968,929,2019-06-06,partly-cloudy-day,nan
247,111,136,2019-03-22,rain,nan
1687,797,890,2019-09-05,partly-cloudy-day,nan
984,620,364,2019-06-14,partly-cloudy-day,nan
214,107,107,2019-07-25,partly-cloudy-day,nan
1234,658,576,2019-05-17,partly-cloudy-day,nan
138,84,54,2019-07-14,clear-night,nan
132,47,85,2019-10-16,rain,nan
922,575,347,2019-08-23,rain,nan
1,0,1,2019-05-17,partly-cloudy-night,nan
1801,971,830,2019-04-22,partly-cloudy-day,Easter Monday
2,1,1,2019-03-26,cloudy,nan
1185,609,576,2019-04-15,partly-cloudy-day,Tax Day
12,10,2,2019-04-18,partly-cloudy-night,nan
30,28,2,2019-02-27,cloudy,nan
452,189,263,2019-05-17,clear-day,nan
2,1,1,2019-07-20,clear-night,nan
1890,996,894,2019-06-21,partly-cloudy-day,nan
969,524,445,2019-09-06,cloudy,nan
908,478,430,2019-12-09,cloudy,nan
1353,570,783,2019-12-05,partly-cloudy-day,nan
0,0,0,2019-01-31,clear-night,nan
8,7,1,2019-12-28,partly-cloudy-night,nan
21,15,6,2019-08-31,clear-night,nan
1753,704,1049,2019-09-17,clear-day,nan
876,481,395,2019-02-06,clear-day,nan
672,386,286,2019-02-04,clear-day,nan
0,0,0,2019-01-25,cloudy,nan
290,127,163,2019-08-22,partly-cloudy-night,nan
398,157,241,2019-01-30,cloudy,nan
4,1,3,2019-06-18,partly-cloudy-night,nan
55,33,22,2019-07-16,clear-night,nan
808,426,382,2019-12-01,cloudy,nan
507,286,221,2019-12-29,cloudy,nan
6,4,2,2019-07-06,cloudy,nan
882,510,372,2019-10-21,clear-day,nan
0,0,0,2019-01-25,partly-cloudy-night,nan
6,1,5,2019-01-13,cloudy,nan
1809,816,993,2019-06-12,partly-cloudy-day,nan
195,189,6,2019-07-11,rain,nan
1107,575,532,2019-07-30,clear-day,nan
1689,761,928,2019-08-01,partly-cloudy-day,nan
4,4,0,2019-03-05,clear-night,nan
1,0,1,2019-11-17,cloudy,nan
25,14,11,2019-09-02,partly-cloudy-night,nan
56,48,8,2019-04-27,clear-night,nan
809,383,426,2019-05-05,rain,Cinco de Mayo
0,0,0,2019-02-09,clear-night,nan
618,338,280,2019-09-07,clear-day,nan
1031,524,507,2019-02-28,clear-day,nan
1735,866,869,2019-01-03,partly-cloudy-day,nan
0,0,0,2019-12-14,rain,nan
740,447,293,2019-08-01,partly-cloudy-day,nan
3,2,1,2019-05-25,partly-cloudy-night,nan
9,8,1,2019-01-05,clear-night,nan
425,226,199,2019-09-22,clear-day,nan
40,33,7,2019-12-07,clear-night,nan
1376,833,543,2019-10-15,clear-day,nan
601,187,414,2019-03-16,partly-cloudy-night,nan
3,2,1,2019-03-12,clear-night,nan
1,0,1,2019-12-31,cloudy,New Year's Eve
2352,958,1394,2019-05-30,partly-cloudy-day,nan
36,35,1,2019-04-10,clear-night,nan
372,224,148,2019-06-30,clear-day,nan
1858,834,1024,2019-12-24,clear-day,Christmas Eve
1,0,1,2019-10-27,partly-cloudy-night,nan
4,3,1,2019-11-28,clear-night,Thanksgiving Day
0,0,0,2019-04-24,partly-cloudy-night,nan
1,0,1,2019-05-31,partly-cloudy-night,nan
0,0,0,2019-12-04,partly-cloudy-night,nan
1978,896,1082,2019-07-02,partly-cloudy-day,nan
2395,1088,1307,2019-08-08,partly-cloudy-day,nan
11,5,6,2019-08-11,clear-night,nan
23,10,13,2019-10-03,rain,nan
4,3,1,2019-09-24,clear-night,nan
1108,490,618,2019-09-08,partly-cloudy-day,nan
202,94,108,2019-08-07,rain,nan
3,2,1,2019-03-23,clear-night,nan
219,106,113,2019-11-08,clear-day,nan
168,77,91,2019-07-11,partly-cloudy-day,nan
316,155,161,2019-07-27,clear-day,nan
721,428,293,2019-11-20,cloudy,nan
266,97,169,2019-03-05,clear-day,nan
829,347,482,2019-05-22,clear-day,nan
0,0,0,2019-06-11,rain,nan
0,0,0,2019-07-12,partly-cloudy-night,nan
763,438,325,2019-04-28,cloudy,nan
0,0,0,2019-11-23,clear-night,nan
1082,588,494,2019-08-28,cloudy,nan
100,49,51,2019-07-18,cloudy,nan
1447,736,711,2019-07-18,cloudy,nan
2208,1085,1123,2019-08-30,clear-day,nan
20,14,6,2019-02-16,clear-night,nan
217,104,113,2019-08-18,cloudy,nan
0,0,0,2019-01-12,partly-cloudy-night,nan
51,27,24,2019-10-10,cloudy,nan
0,0,0,2019-07-26,clear-night,nan
1074,513,561,2019-01-09,partly-cloudy-day,nan
309,122,187,2019-04-23,clear-day,nan
308,132,176,2019-02-22,clear-day,nan
0,0,0,2019-02-21,rain,nan
178,67,111,2019-07-29,clear-day,nan
413,221,192,2019-01-23,cloudy,nan
10,3,7,2019-03-04,snow,nan
948,470,478,2019-04-28,cloudy,nan
766,429,337,2019-11-22,rain,nan
42,40,2,2019-01-11,clear-night,nan
612,330,282,2019-10-07,cloudy,nan
14,12,2,2019-03-30,clear-night,nan
1251,527,724,2019-11-14,clear-day,nan
2274,1124,1150,2019-07-07,partly-cloudy-day,nan
2,1,1,2019-01-02,clear-night,nan
37,25,12,2019-10-21,clear-night,nan
11,6,5,2019-05-30,cloudy,nan
180,86,94,2019-05-04,cloudy,nan
9,3,6,2019-01-18,cloudy,nan
15,10,5,2019-05-14,rain,nan
1216,540,676,2019-08-19,partly-cloudy-day,nan
724,318,406,2019-01-27,partly-cloudy-day,nan
25,23,2,2019-12-02,cloudy,nan
1041,508,533,2019-03-01,cloudy,nan
0,0,0,2019-12-16,clear-night,nan
302,124,178,2019-05-15,clear-day,nan
252,150,102,2019-12-25,clear-day,Christmas Day
36,31,5,2019-11-21,clear-night,nan
0,0,0,2019-04-01,clear-night,nan
1,0,1,2019-06-27,partly-cloudy-night,nan
1937,946,991,2019-07-08,partly-cloudy-day,nan
2,1,1,2019-07-09,clear-night,nan
5,4,1,2019-01-03,partly-cloudy-night,nan
696,334,362,2019-09-06,cloudy,nan
106,46,60,2019-01-17,clear-night,nan
1724,890,834,2019-02-17,clear-day,nan
814,413,401,2019-10-28,partly-cloudy-night,nan
1,1,0,2019-06-08,clear-night,nan
1624,636,988,2019-12-13,cloudy,nan
1713,962,751,2019-03-04,partly-cloudy-day,nan
1,0,1,2019-08-05,partly-cloudy-night,nan
88,33,55,2019-07-06,partly-cloudy-night,nan
2831,1412,1419,2019-01-01,partly-cloudy-day,New Year's Day
0,0,0,2019-08-20,clear-night,nan
470,228,242,2019-04-02,clear-day,nan
1252,661,591,2019-03-16,partly-cloudy-day,nan
10,1,9,2019-05-06,partly-cloudy-night,nan
8,1,7,2019-07-29,clear-night,nan
0,0,0,2019-08-15,partly-cloudy-night,nan
2131,1004,1127,2019-12-22,clear-day,nan
16,8,8,2019-07-09,clear-night,nan
