weather,temperature,precipitation
clear-night,65,0
partly-cloudy-night,70,0
cloudy,20,0
clear-day,83,0
partly-cloudy-day,83,0
partly-cloudy-day,48,0
partly-cloudy-day,84,0
clear-night,11,0
cloudy,38,0
clear-night,39,0
partly-cloudy-day,89,0
cloudy,50,0
clear-night,40,0
cloudy,52,0.00040
clear-night,89,0
cloudy,42,0
partly-cloudy-night,57,0
partly-cloudy-night,43,0
clear-night,30,0
partly-cloudy-night,80,0
clear-day,84,0
partly-cloudy-night,32,0.001
cloudy,33,0
clear-night,42,0
clear-day,76,0
clear-night,47,0
rain,66,0.0308
cloudy,62,0.0022
partly-cloudy-day,87,0
partly-cloudy-night,73,0
cloudy,38,0
clear-night,30,0
partly-cloudy-day,50,0
cloudy,54,0
clear-night,33,0
partly-cloudy-day,81,0
partly-cloudy-night,46,0
partly-cloudy-day,39,0
clear-night,48,0
cloudy,77,0
clear-day,65,0
cloudy,63,0.0145
cloudy,39,0
cloudy,63,0
cloudy,53,0
clear-night,44,0
partly-cloudy-night,70,0
cloudy,55,0
clear-night,73,0
clear-night,68,0
partly-cloudy-day,79,0
cloudy,53,0
partly-cloudy-night,48,0
clear-day,76,0
partly-cloudy-day,64,0
rain,40,0.0348
partly-cloudy-day,64,0
cloudy,33,0.0174
clear-day,45,0
clear-night,42,0
cloudy,50,0
clear-night,56,0
clear-night,26,0
cloudy,67,0
clear-day,67,0
clear-day,40,0
partly-cloudy-day,73,0
partly-cloudy-night,70,0
cloudy,41,0
partly-cloudy-day,63,0
clear-day,76,0
clear-night,34,0
partly-cloudy-day,80,0
partly-cloudy-day,64,0
cloudy,57,0
partly-cloudy-day,67,0
cloudy,47,0
partly-cloudy-night,31,0
partly-cloudy-day,78,0
partly-cloudy-night,46,0
cloudy,58,0
cloudy,60,0
rain,41,0.003
partly-cloudy-day,78,0
partly-cloudy-night,43,0
clear-night,40,0
clear-night,24,0
cloudy,40,0.0131
partly-cloudy-day,58,0
clear-day,73,0
partly-cloudy-day,75,0
partly-cloudy-night,61,0
clear-day,47,0
cloudy,41,0.0013
partly-cloudy-night,66,0
cloudy,53,0
clear-night,52,0
cloudy,48,0
clear-night,42,0
rain,57,0.0783
clear-night,75,0
partly-cloudy-day,60,0
partly-cloudy-day,42,0
clear-night,29,0
clear-day,20,0
partly-cloudy-night,77,0
cloudy,55,0
cloudy,64,0
clear-night,70,0
clear-night,69,0
clear-day,76,0
clear-night,69,0
clear-night,32,0
rain,53,0.0847
cloudy,54,0
partly-cloudy-night,38,0
partly-cloudy-night,62,0
clear-day,28,0
clear-day,82,0
clear-night,40,0
clear-day,74,0
clear-night,40,0
cloudy,34,0
cloudy,64,0
sleet,35,0.05
cloudy,73,0
partly-cloudy-day,83,0.00050
clear-night,51,0
clear-night,50,0
cloudy,59,0
partly-cloudy-day,73,0
partly-cloudy-night,81,0
rain,33,0.0722
cloudy,41,0.0073
partly-cloudy-night,51,0
rain,60,0.0147
partly-cloudy-night,66,0
partly-cloudy-day,81,0
cloudy,47,0
cloudy,45,0
clear-day,61,0
clear-night,37,0
clear-day,86,0
clear-day,33,0
clear-day,35,0
clear-night,33,0
partly-cloudy-day,77,0
cloudy,43,0.0023
clear-night,61,0
cloudy,56,0.001
partly-cloudy-day,73,0
clear-day,69,0
clear-night,51,0
cloudy,35,0
clear-day,84,0
cloudy,83,0
cloudy,46,0
clear-day,44,0
clear-night,35,0
clear-night,66,0
clear-night,67,0
partly-cloudy-day,31,0
clear-night,24,0
partly-cloudy-night,68,0
partly-cloudy-day,58,0
clear-night,19,0
partly-cloudy-night,33,0
cloudy,73,0
partly-cloudy-night,34,0
partly-cloudy-day,75,0
clear-night,24,0
clear-night,51,0
rain,33,0.006
clear-night,34,0
clear-day,50,0
partly-cloudy-night,63,0
clear-day,34,0.00030
partly-cloudy-day,77,0
partly-cloudy-day,87,0
clear-day,59,0
cloudy,51,0
rain,37,0.0076
clear-night,64,0
clear-day,51,0
partly-cloudy-day,48,0
cloudy,70,0
clear-day,47,0
cloudy,57,0
clear-night,46,0
rain,73,0.032
partly-cloudy-day,87,0
cloudy,41,0.0023
clear-night,53,0
partly-cloudy-day,29,0
rain,33,0.0568
clear-day,65,0
partly-cloudy-night,59,0
cloudy,49,0
clear-day,74,0
partly-cloudy-day,87,0
clear-night,18,0
partly-cloudy-day,80,0
clear-night,36,0
cloudy,42,0
cloudy,31,0
cloudy,61,0.0173
clear-night,76,0
partly-cloudy-day,72,0
cloudy,72,0
partly-cloudy-night,71,0
clear-night,76,0
cloudy,36,0
clear-day,75,0
partly-cloudy-night,51,0
cloudy,34,0.0078
clear-day,59,0
clear-night,32,0
cloudy,55,0
cloudy,44,0.0073
partly-cloudy-night,72,0
cloudy,29,0
clear-day,26,0
partly-cloudy-day,78,0
clear-day,65,0
clear-day,64,0
clear-night,36,0
clear-night,34,0
partly-cloudy-night,35,0
clear-day,36,0
clear-night,70,0
partly-cloudy-day,62,0
partly-cloudy-day,63,0
rain,55,0.0054
partly-cloudy-day,78,0
partly-cloudy-day,37,0.00070
partly-cloudy-night,58,0
partly-cloudy-day,66,0
cloudy,32,0
clear-night,74,0
clear-night,51,0
cloudy,48,0.0125
partly-cloudy-night,53,0
clear-day,43,0
rain,47,0.0521
clear-night,62,0
clear-night,65,0
partly-cloudy-day,79,0
clear-night,45,0
partly-cloudy-day,25,0
cloudy,57,0
cloudy,63,0
clear-night,42,0
rain,42,0.0279
clear-day,48,0
rain,61,0.1436
partly-cloudy-day,76,0
partly-cloudy-day,81,0
rain,60,0.0851
partly-cloudy-day,79,0
partly-cloudy-day,51,0
partly-cloudy-day,86,0
clear-night,43,0
cloudy,59,0
rain,55,0.0578
clear-night,74,0
partly-cloudy-day,33,0
partly-cloudy-day,66,0
partly-cloudy-night,55,0
clear-night,74,0
partly-cloudy-night,38,0
partly-cloudy-night,69,0.0238
cloudy,47,0
partly-cloudy-day,79,0
partly-cloudy-day,49,0
clear-day,50,0
clear-day,74,0
clear-day,42,0
partly-cloudy-day,74,0
partly-cloudy-day,83,0
cloudy,31,0
clear-day,43,0
partly-cloudy-night,34,0
clear-night,58,0
cloudy,34,0
cloudy,34,0.0022
partly-cloudy-night,62,0
clear-night,70,0
rain,53,0.121
partly-cloudy-night,68,0
partly-cloudy-night,67,0
partly-cloudy-night,74,0
partly-cloudy-day,31,0
partly-cloudy-night,57,0
partly-cloudy-day,68,0
clear-day,34,0
clear-day,28,0
clear-night,82,0
clear-day,76,0
clear-day,75,0
cloudy,55,0.0012
fog,51,0
clear-day,50,0
partly-cloudy-day,62,0.00030
snow,38,0.0124
cloudy,59,0
partly-cloudy-night,68,0
clear-night,27,0
cloudy,73,0
clear-day,16,0
partly-cloudy-day,82,0
clear-day,84,0
clear-night,27,0
partly-cloudy-night,38,0
partly-cloudy-day,73,0
clear-night,72,0
partly-cloudy-day,77,0
clear-night,47,0
partly-cloudy-night,43,0
clear-day,36,0
cloudy,49,0
partly-cloudy-night,70,0
partly-cloudy-day,58,0
partly-cloudy-night,38,0
clear-night,45,0
clear-night,22,0
cloudy,29,0
clear-day,75,0
cloudy,35,0
cloudy,41,0
cloudy,44,0
cloudy,54,0.0104
clear-day,57,0
snow,34,0.0209
partly-cloudy-night,38,0
partly-cloudy-night,37,0
clear-day,65,0
clear-day,34,0
clear-day,63,0
clear-day,22,0
partly-cloudy-day,79,0
partly-cloudy-day,33,0
clear-night,72,0
rain,75,0.05
partly-cloudy-day,64,0
rain,67,0.0123
partly-cloudy-day,68,0
partly-cloudy-night,71,0.0027
clear-night,19,0
rain,48,0.0064
clear-night,25,0
cloudy,58,0
cloudy,36,0
partly-cloudy-night,28,0
clear-night,64,0
clear-night,32,0
rain,53,0.1152
partly-cloudy-night,56,0
clear-day,40,0
clear-day,67,0
partly-cloudy-day,91,0
clear-day,45,0
clear-night,80,0
cloudy,36,0.00020
partly-cloudy-night,52,0
rain,35,0.0063
clear-day,61,0
partly-cloudy-day,78,0
partly-cloudy-day,75,0
clear-day,36,0
clear-night,24,0
cloudy,77,0
cloudy,50,0
cloudy,35,0.0024
clear-day,42,0
partly-cloudy-day,86,0
partly-cloudy-night,63,0
cloudy,54,0.00070
clear-day,70,0
clear-day,15,0
partly-cloudy-day,84,0
partly-cloudy-night,21,0
partly-cloudy-day,72,0
cloudy,62,0
cloudy,56,0
cloudy,77,0
clear-night,14,0
partly-cloudy-day,53,0
partly-cloudy-day,74,0
partly-cloudy-night,55,0
cloudy,45,0
partly-cloudy-day,42,0
partly-cloudy-day,38,0
clear-night,36,0
partly-cloudy-day,79,0
cloudy,68,0
rain,40,0.0292
partly-cloudy-night,38,0
partly-cloudy-night,70,0
clear-night,32,0
partly-cloudy-day,82,0
clear-night,65,0
clear-night,56,0
clear-day,29,0
clear-day,85,0
clear-day,59,0
partly-cloudy-night,43,0
clear-night,73,0
cloudy,71,0
clear-night,22,0
partly-cloudy-day,72,0
partly-cloudy-day,68,0
rain,42,0.0352
clear-night,64,0
clear-night,33,0
partly-cloudy-night,39,0
partly-cloudy-day,33,0
partly-cloudy-day,32,0
rain,57,0.0105
clear-night,40,0
clear-night,73,0
cloudy,73,0
clear-day,82,0
clear-night,46,0
clear-day,79,0
partly-cloudy-night,20,0
clear-day,68,0
clear-day,53,0
cloudy,36,0
rain,47,0.0596
clear-day,64,0
cloudy,53,0
cloudy,59,0
partly-cloudy-night,51,0
partly-cloudy-day,42,0
partly-cloudy-day,63,0
partly-cloudy-night,70,0
clear-night,62,0
cloudy,60,0
clear-day,39,0
cloudy,73,0.01
clear-night,56,0
partly-cloudy-day,27,0
clear-night,28,0
rain,73,0.0747
cloudy,60,0
cloudy,26,0
partly-cloudy-night,73,0
cloudy,34,0
clear-night,60,0
clear-day,51,0
partly-cloudy-day,49,0
partly-cloudy-day,87,0.002
cloudy,71,0
clear-night,40,0
rain,40,0.0407
cloudy,59,0.001
partly-cloudy-day,77,0
rain,46,0.1072
cloudy,43,0.0017
partly-cloudy-night,62,0
clear-night,46,0
clear-night,35,0
nan,nan,nan
clear-day,46,0
partly-cloudy-day,83,0
clear-night,28,0
cloudy,39,0.0065
partly-cloudy-day,52,0
clear-night,63,0
clear-day,47,0
clear-night,43,0
cloudy,47,0
partly-cloudy-day,77,0
partly-cloudy-day,82,0
clear-night,15,0
partly-cloudy-day,52,0
partly-cloudy-day,65,0
clear-day,83,0
partly-cloudy-night,72,0
clear-night,72,0
partly-cloudy-night,74,0
partly-cloudy-night,40,0
clear-night,40,0
cloudy,52,0
clear-day,39,0
clear-night,27,0
partly-cloudy-day,85,0
partly-cloudy-day,88,0
partly-cloudy-night,62,0
cloudy,38,0.00060
clear-day,87,0
partly-cloudy-day,80,0
partly-cloudy-day,70,0
clear-night,32,0
clear-day,88,0
clear-day,40,0
partly-cloudy-day,87,0
cloudy,72,0
partly-cloudy-day,88,0
clear-night,35,0
partly-cloudy-day,36,0
partly-cloudy-day,79,0
partly-cloudy-day,48,0
partly-cloudy-night,70,0.0049
clear-night,23,0
partly-cloudy-day,12,0
clear-day,37,0
partly-cloudy-night,49,0
clear-night,39,0
partly-cloudy-day,75,0
cloudy,58,0
clear-night,68,0
partly-cloudy-night,32,0
clear-night,49,0
partly-cloudy-day,43,0
cloudy,40,0
partly-cloudy-day,86,0
partly-cloudy-day,19,0
clear-night,36,0
clear-night,73,0
rain,61,0.0284
cloudy,72,0
partly-cloudy-day,73,0
partly-cloudy-day,69,0
partly-cloudy-night,54,0
clear-day,27,0
cloudy,68,0
clear-day,65,0
partly-cloudy-night,58,0
partly-cloudy-night,27,0
partly-cloudy-day,57,0
partly-cloudy-night,73,0
clear-night,23,0
nan,nan,nan
cloudy,47,0.00060
clear-day,59,0
clear-day,67,0
partly-cloudy-day,63,0
partly-cloudy-night,30,0
partly-cloudy-day,75,0
clear-day,52,0
partly-cloudy-day,70,0
partly-cloudy-day,75,0
partly-cloudy-night,47,0.00030
rain,61,0.1521
partly-cloudy-day,87,0
partly-cloudy-day,80,0
clear-night,36,0
rain,72,0.0489
cloudy,43,0.00060
clear-day,78,0
cloudy,69,0
cloudy,77,0
partly-cloudy-day,81,0
cloudy,75,0
clear-day,25,0
partly-cloudy-night,51,0
partly-cloudy-night,56,0
partly-cloudy-day,38,0.00030
partly-cloudy-day,56,0
clear-night,49,0
partly-cloudy-day,87,0
clear-day,26,0
cloudy,67,0
clear-night,38,0
cloudy,54,0
partly-cloudy-night,53,0
clear-night,32,0
partly-cloudy-day,77,0
partly-cloudy-day,95,0
clear-night,41,0
rain,58,0.0226
cloudy,42,0
clear-day,54,0
partly-cloudy-night,78,0
partly-cloudy-day,72,0
clear-day,64,0
partly-cloudy-day,69,0
partly-cloudy-night,40,0
partly-cloudy-day,80,0
clear-night,40,0
cloudy,42,0
partly-cloudy-day,71,0
partly-cloudy-day,88,0
clear-night,34,0
clear-night,44,0
clear-night,46,0
cloudy,57,0
partly-cloudy-night,37,0
partly-cloudy-day,58,0
partly-cloudy-day,82,0
clear-night,27,0
partly-cloudy-night,29,0
rain,56,0.1508
cloudy,64,0
rain,46,0.0225
cloudy,69,0.004
partly-cloudy-night,36,0
clear-night,46,0
cloudy,36,0.0066
clear-night,2,0
partly-cloudy-day,83,0
partly-cloudy-day,80,0
partly-cloudy-day,74,0
clear-night,69,0
cloudy,42,0
rain,59,0.1316
partly-cloudy-night,71,0
rain,53,0.0049
partly-cloudy-night,31,0
cloudy,53,0.0048
clear-night,43,0
clear-day,33,0
cloudy,45,0
partly-cloudy-night,42,0
partly-cloudy-day,47,0
rain,71,0.222
clear-night,66,0
clear-day,60,0
clear-night,54,0
partly-cloudy-night,9,0
clear-night,44,0
clear-night,58,0
partly-cloudy-day,40,0
clear-day,32,0
partly-cloudy-day,82,0
cloudy,47,0
clear-night,23,0
clear-day,29,0
partly-cloudy-night,38,0
clear-day,28,0
partly-cloudy-day,58,0
partly-cloudy-night,28,0
partly-cloudy-day,80,0
clear-day,26,0
clear-night,63,0
cloudy,58,0
cloudy,44,0
partly-cloudy-day,56,0.00020
partly-cloudy-day,78,0
partly-cloudy-day,44,0
partly-cloudy-night,39,0
partly-cloudy-day,79,0
cloudy,54,0
clear-night,40,0
clear-night,44,0
clear-night,58,0
rain,35,0.0247
cloudy,59,0
partly-cloudy-night,80,0
cloudy,39,0
clear-day,52,0
clear-day,72,0
partly-cloudy-day,75,0
cloudy,35,0
clear-night,23,0
partly-cloudy-day,58,0
partly-cloudy-day,80,0
partly-cloudy-day,70,0
partly-cloudy-day,63,0
clear-day,66,0
clear-day,83,0
clear-night,40,0
partly-cloudy-day,59,0
clear-night,69,0
cloudy,33,0
clear-night,77,0
partly-cloudy-night,30,0
rain,41,0.0357
partly-cloudy-day,78,0
partly-cloudy-night,56,0
sleet,34,0.0197
clear-night,41,0
clear-night,36,0
clear-night,67,0
cloudy,63,0
partly-cloudy-day,75,0
cloudy,58,0
rain,60,0.0421
clear-night,29,0
clear-night,23,0
clear-night,15,0
cloudy,57,0
cloudy,39,0
partly-cloudy-night,24,0
cloudy,43,0
partly-cloudy-day,80,0
partly-cloudy-night,70,0
cloudy,54,0
clear-night,52,0
clear-night,24,0
fog,28,0.0075
cloudy,58,0
partly-cloudy-night,82,0
clear-night,54,0
clear-night,55,0
cloudy,68,0.0036
cloudy,59,0
cloudy,51,0
cloudy,38,0
clear-night,73,0
rain,39,0.0271
partly-cloudy-day,80,0
cloudy,52,0
partly-cloudy-day,90,0
clear-night,26,0
rain,56,0.0423
partly-cloudy-day,27,0
cloudy,52,0
cloudy,50,0
cloudy,63,0
clear-day,80,0
cloudy,57,0
partly-cloudy-night,42,0
clear-night,26,0
partly-cloudy-day,29,0
cloudy,68,0.0055
partly-cloudy-day,70,0
cloudy,57,0
clear-day,36,0.0058
rain,44,0.0217
rain,64,0.167
clear-night,29,0
cloudy,76,0
partly-cloudy-day,76,0
clear-night,31,0
rain,51,0.0396
cloudy,55,0
cloudy,51,0
clear-night,70,0
clear-day,53,0
rain,36,0.0607
clear-night,38,0
cloudy,55,0
partly-cloudy-night,63,0
partly-cloudy-night,35,0
partly-cloudy-day,36,0
rain,35,0.0532
clear-night,57,0
clear-night,76,0
partly-cloudy-night,64,0
clear-night,52,0
cloudy,52,0
clear-day,86,0
clear-day,56,0
clear-night,41,0
clear-night,77,0
partly-cloudy-day,39,0
partly-cloudy-day,88,0
clear-day,36,0
clear-day,68,0
clear-night,40,0
cloudy,53,0
partly-cloudy-day,36,0
cloudy,41,0.012
cloudy,34,0
clear-night,33,0
cloudy,38,0.0011
clear-day,43,0
partly-cloudy-night,29,0
cloudy,62,0
partly-cloudy-night,32,0
cloudy,65,0.0069
cloudy,57,0
cloudy,33,0
clear-day,46,0
cloudy,48,0
cloudy,34,0
partly-cloudy-day,82,0
partly-cloudy-day,69,0
partly-cloudy-day,91,0.014
partly-cloudy-day,85,0
clear-day,90,0
partly-cloudy-day,76,0
clear-night,32,0
clear-day,33,0
clear-day,68,0
partly-cloudy-day,88,0
partly-cloudy-day,90,0
cloudy,44,0
partly-cloudy-day,35,0.002
cloudy,44,0
cloudy,29,0.0031
clear-night,31,0
clear-night,74,0
partly-cloudy-day,64,0
rain,44,0.041
partly-cloudy-day,30,0
cloudy,67,0
cloudy,57,0
rain,69,0.0458
partly-cloudy-day,82,0
cloudy,60,0
cloudy,47,0
partly-cloudy-day,39,0
partly-cloudy-day,74,0
rain,52,0.0061
clear-night,63,0
clear-night,69,0
rain,39,0.0018
clear-day,66,0
clear-night,45,0
clear-day,31,0
clear-night,40,0
partly-cloudy-day,86,0
partly-cloudy-day,75,0
partly-cloudy-night,42,0
clear-night,16,0
clear-night,67,0
cloudy,69,0
clear-night,26,0
clear-night,81,0
clear-day,40,0
rain,69,0.0073
clear-night,40,0
snow,27,0.0173
partly-cloudy-day,72,0
rain,55,0.0178
nan,nan,nan
partly-cloudy-day,83,0
clear-night,64,0
clear-day,49,0
clear-day,39,0
clear-night,43,0
partly-cloudy-night,74,0
clear-night,58,0
clear-day,78,0
clear-day,40,0
clear-night,43,0
partly-cloudy-day,70,0
rain,54,0.0353
clear-day,55,0
partly-cloudy-day,71,0
partly-cloudy-day,45,0
rain,40,0.0286
cloudy,49,0
cloudy,34,0.0067
clear-night,46,0
partly-cloudy-day,60,0
partly-cloudy-day,75,0
partly-cloudy-day,37,0
rain,62,0.1876
partly-cloudy-day,33,0
partly-cloudy-day,71,0
clear-day,57,0
rain,40,0.0584
clear-night,32,0.00030
snow,31,0.0429
clear-day,31,0
rain,62,0.0656
clear-day,45,0
clear-night,66,0
clear-night,37,0
cloudy,57,0
rain,66,0.0156
partly-cloudy-night,46,0
cloudy,78,0
clear-day,27,0
cloudy,64,0
partly-cloudy-day,62,0
partly-cloudy-day,82,0
clear-night,33,0
partly-cloudy-night,62,0
clear-night,69,0
rain,38,0.0905
clear-night,58,0
clear-day,51,0
clear-night,50,0
partly-cloudy-night,62,0
partly-cloudy-night,79,0
clear-night,34,0
clear-day,60,0
partly-cloudy-day,70,0
clear-night,53,0
sleet,35,0.0345
clear-day,71,0
rain,76,0.0593
cloudy,40,0.0125
clear-day,80,0
fog,66,0
rain,46,0.1472
clear-night,36,0
cloudy,45,0
clear-day,51,0
partly-cloudy-day,84,0
cloudy,47,0
cloudy,32,0
partly-cloudy-day,47,0
partly-cloudy-night,64,0
clear-night,27,0
partly-cloudy-night,73,0
clear-day,59,0
cloudy,32,0
clear-day,23,0
clear-night,83,0
cloudy,56,0
cloudy,52,0
clear-night,80,0
partly-cloudy-day,27,0
partly-cloudy-day,75,0
cloudy,30,0
partly-cloudy-night,29,0
cloudy,41,0
cloudy,69,0
partly-cloudy-day,73,0
partly-cloudy-day,46,0
cloudy,60,0
cloudy,61,0
clear-day,37,0
clear-day,38,0.0018
clear-night,39,0
clear-night,42,0
partly-cloudy-day,57,0
partly-cloudy-day,64,0
rain,55,0.1173
rain,59,0.0368
clear-night,57,0
clear-day,52,0.0014
cloudy,36,0
partly-cloudy-day,58,0
cloudy,34,0
partly-cloudy-night,75,0
partly-cloudy-day,59,0
clear-night,34,0
clear-night,65,0
clear-night,61,0
partly-cloudy-day,27,0
clear-night,52,0
partly-cloudy-day,74,0
partly-cloudy-day,42,0
rain,41,0.1079
clear-day,64,0
clear-night,57,0
clear-day,72,0
partly-cloudy-night,76,0
partly-cloudy-day,71,0
cloudy,60,0
clear-night,78,0
clear-day,64,0
partly-cloudy-day,34,0
cloudy,54,0
partly-cloudy-day,75,0
partly-cloudy-day,47,0
partly-cloudy-day,32,0
cloudy,48,0.0044
partly-cloudy-night,41,0
clear-night,30,0
partly-cloudy-day,72,0
clear-day,80,0
clear-night,53,0
partly-cloudy-day,66,0
clear-day,58,0.0012
clear-night,42,0
clear-night,46,0
cloudy,66,0
cloudy,35,0
partly-cloudy-day,80,0
partly-cloudy-day,77,0
clear-day,80,0
partly-cloudy-night,49,0
clear-night,55,0
partly-cloudy-day,78,0
clear-night,53,0
clear-night,20,0
clear-day,70,0
partly-cloudy-day,50,0
partly-cloudy-night,68,0
cloudy,47,0.0108
partly-cloudy-night,53,0
clear-night,41,0
partly-cloudy-night,73,0
cloudy,77,0
cloudy,55,0.0046
clear-day,83,0
clear-day,85,0
clear-night,13,0
clear-day,29,0
rain,52,0.0583
partly-cloudy-night,61,0
partly-cloudy-day,83,0
partly-cloudy-night,46,0
clear-night,72,0
clear-night,30,0
partly-cloudy-night,75,0
cloudy,67,0
clear-night,51,0
cloudy,42,0
partly-cloudy-night,72,0
partly-cloudy-night,34,0
partly-cloudy-night,71,0
cloudy,72,0
clear-night,38,0
partly-cloudy-night,28,0
clear-day,50,0
clear-day,32,0
clear-night,29,0
partly-cloudy-night,65,0
partly-cloudy-day,66,0
cloudy,54,0.00050
partly-cloudy-night,61,0
partly-cloudy-day,70,0
cloudy,71,0
partly-cloudy-day,41,0
cloudy,42,0.0117
clear-day,55,0
partly-cloudy-night,33,0
cloudy,69,0
clear-day,49,0
partly-cloudy-night,56,0
rain,36,0.0864
clear-night,78,0
cloudy,55,0
rain,72,0.024
rain,56,0.0952
clear-night,37,0
partly-cloudy-day,63,0
clear-day,37,0
partly-cloudy-day,84,0
clear-day,17,0
partly-cloudy-day,70,0
clear-day,63,0
clear-night,35,0
clear-night,33,0
partly-cloudy-day,60,0
cloudy,53,0
clear-night,66,0
clear-day,26,0
partly-cloudy-day,61,0
clear-day,76,0
rain,72,0.0377
partly-cloudy-day,80,0
clear-day,69,0
clear-night,19,0
partly-cloudy-night,40,0
partly-cloudy-night,57,0
rain,66,0.018
partly-cloudy-night,57,0
partly-cloudy-day,65,0
cloudy,49,0
rain,40,0.0082
clear-night,32,0
partly-cloudy-day,78,0
clear-night,71,0
partly-cloudy-night,25,0
clear-night,41,0
clear-day,78,0
partly-cloudy-night,70,0
partly-cloudy-night,60,0
cloudy,52,0
partly-cloudy-day,79,0
clear-night,42,0
cloudy,79,0
cloudy,62,0
partly-cloudy-day,81,0
clear-night,34,0.00020
partly-cloudy-day,81,0
clear-day,59,0
partly-cloudy-day,61,0
clear-day,44,0
clear-night,74,0
clear-night,3,0
partly-cloudy-day,83,0
rain,71,0.029
cloudy,36,0
partly-cloudy-day,73,0
partly-cloudy-day,92,0
rain,36,0.0154
partly-cloudy-night,66,0
partly-cloudy-day,63,0
clear-day,44,0
partly-cloudy-day,6,0
clear-night,23,0
cloudy,82,0
partly-cloudy-day,77,0
partly-cloudy-day,81,0
clear-night,55,0
rain,78,0.0271
partly-cloudy-day,58,0
cloudy,55,0
cloudy,50,0
clear-night,26,0
partly-cloudy-day,61,0
clear-day,78,0
partly-cloudy-day,36,0
partly-cloudy-night,72,0
cloudy,54,0
clear-night,42,0
partly-cloudy-night,76,0
clear-day,47,0
partly-cloudy-night,73,0
clear-day,67,0
rain,61,0.0289
cloudy,48,0
rain,42,0.0968
clear-night,37,0
clear-day,74,0
clear-night,29,0
cloudy,46,0
partly-cloudy-day,54,0
partly-cloudy-day,66,0
partly-cloudy-night,70,0
cloudy,36,0
cloudy,49,0
rain,61,0.024
partly-cloudy-day,67,0
partly-cloudy-night,47,0.0025
partly-cloudy-night,68,0
clear-day,65,0
clear-night,43,0
partly-cloudy-day,41,0
cloudy,56,0
clear-night,67,0
partly-cloudy-day,75,0
clear-day,64,0
clear-night,29,0
cloudy,56,0
clear-day,29,0
partly-cloudy-night,33,0
clear-day,38,0
partly-cloudy-day,69,0
cloudy,31,0
partly-cloudy-day,80,0
cloudy,58,0
cloudy,69,0
partly-cloudy-night,71,0
clear-night,28,0
clear-day,63,0
clear-day,24,0
clear-night,54,0
rain,73,0.409
clear-day,66,0
clear-night,48,0
rain,39,0.0124
partly-cloudy-night,37,0
cloudy,73,0
cloudy,57,0
partly-cloudy-day,87,0
partly-cloudy-day,94,0
clear-day,81,0
partly-cloudy-day,82,0
clear-night,30,0
rain,51,0.0175
clear-day,80,0
clear-night,29,0
clear-night,31,0
clear-day,63,0
clear-night,40,0
clear-day,69,0
cloudy,57,0.0032
cloudy,40,0
cloudy,28,0
partly-cloudy-day,82,0
cloudy,51,0
clear-day,29,0
cloudy,61,0
clear-night,58,0
clear-night,63,0
clear-night,68,0
rain,57,0.0374
partly-cloudy-day,81,0
partly-cloudy-night,42,0
rain,46,0.0707
partly-cloudy-night,47,0
cloudy,65,0
partly-cloudy-day,76,0
cloudy,44,0.0079
clear-night,40,0
cloudy,31,0
cloudy,36,0
clear-day,53,0
partly-cloudy-night,71,0.00040
partly-cloudy-day,77,0
clear-day,53,0
clear-night,44,0
partly-cloudy-day,37,0
clear-night,53,0
partly-cloudy-night,75,0
clear-day,30,0
clear-day,88,0
cloudy,46,0
partly-cloudy-night,57,0
partly-cloudy-night,56,0
rain,59,0.0875
clear-night,37,0
clear-night,33,0
rain,69,0.029
clear-day,61,0
clear-night,48,0
partly-cloudy-night,35,0
clear-night,70,0
nan,nan,nan
cloudy,53,0
partly-cloudy-night,73,0
clear-night,27,0
partly-cloudy-night,37,0
rain,57,0.0287
clear-night,42,0
partly-cloudy-night,41,0
clear-night,59,0
rain,68,0.224
partly-cloudy-night,4,0
clear-day,23,0
partly-cloudy-day,83,0
rain,61,0.0602
rain,44,0.0172
clear-night,39,0
cloudy,33,0
clear-night,40,0
cloudy,69,0.0011
clear-night,10,0
clear-night,34,0
clear-night,71,0
rain,45,0.0492
cloudy,54,0.001
partly-cloudy-day,80,0
cloudy,61,0
rain,64,0.1494
partly-cloudy-night,56,0
nan,nan,nan
partly-cloudy-day,33,0
partly-cloudy-day,75,0
partly-cloudy-day,71,0
cloudy,31,0
clear-day,24,0
partly-cloudy-day,83,0
cloudy,58,0.0012
clear-night,71,0
cloudy,45,0
partly-cloudy-day,78,0
clear-night,31,0
partly-cloudy-night,39,0
clear-night,28,0
partly-cloudy-night,68,0
rain,58,0.134
clear-night,55,0
clear-night,35,0
partly-cloudy-day,62,0
cloudy,53,0
clear-night,46,0
partly-cloudy-night,42,0
clear-night,23,0
clear-night,61,0
clear-night,39,0
clear-night,64,0
partly-cloudy-night,71,0
partly-cloudy-day,38,0
cloudy,45,0
clear-day,72,0
cloudy,53,0.0214
clear-day,34,0
partly-cloudy-day,79,0
clear-day,56,0
fog,27,0.00070
cloudy,72,0
cloudy,64,0
clear-night,46,0
rain,67,0.153
partly-cloudy-night,51,0
cloudy,70,0.0023
clear-night,45,0
clear-night,61,0
partly-cloudy-night,81,0
clear-day,47,0
clear-night,66,0
clear-night,31,0
clear-night,56,0
clear-day,73,0
partly-cloudy-day,14,0
clear-day,50,0
clear-day,79,0
partly-cloudy-night,68,0
cloudy,56,0
clear-night,77,0
cloudy,41,0
cloudy,48,0.0061
partly-cloudy-day,64,0
clear-day,63,0
cloudy,55,0
clear-night,60,0
cloudy,69,0
