weather,temperature,precipitation
clear-day,64,0
partly-cloudy-night,62,0
clear-day,80,0
clear-day,33,0
partly-cloudy-night,68,0
cloudy,70,0
clear-night,50,0
rain,48,0.0551
cloudy,31,0
partly-cloudy-day,34,0
clear-day,40,0
partly-cloudy-night,34,0
clear-day,78,0
partly-cloudy-night,70,0
clear-day,65,0
clear-day,83,0
clear-day,51,0
cloudy,59,0
rain,33,0.0117
cloudy,30,0
rain,68,0.002
partly-cloudy-day,52,0
cloudy,75,0
clear-day,82,0
clear-night,27,0
cloudy,68,0
clear-day,51,0
rain,35,0.0255
clear-night,47,0
partly-cloudy-day,54,0
partly-cloudy-night,33,0
cloudy,56,0
partly-cloudy-night,20,0
clear-day,74,0
clear-night,73,0
partly-cloudy-day,39,0
partly-cloudy-night,56,0
clear-day,40,0
clear-night,21,0
rain,45,0.0478
partly-cloudy-night,34,0
cloudy,43,0
clear-day,30,0
cloudy,40,0.00030
cloudy,50,0
cloudy,56,0
partly-cloudy-day,72,0
cloudy,53,0
cloudy,57,0
clear-day,34,0.0065
partly-cloudy-night,71,0
clear-day,36,0
cloudy,44,0.00050
cloudy,56,0
partly-cloudy-day,79,0
cloudy,60,0
cloudy,52,0
partly-cloudy-night,58,0
cloudy,36,0.0079
partly-cloudy-day,73,0
clear-night,73,0
partly-cloudy-day,52,0
partly-cloudy-night,53,0
partly-cloudy-night,34,0
partly-cloudy-day,82,0
rain,40,0.0093
clear-day,33,0
partly-cloudy-day,61,0
clear-day,59,0
partly-cloudy-day,77,0
partly-cloudy-day,79,0
partly-cloudy-night,61,0
cloudy,33,0
clear-day,7,0
cloudy,67,0
partly-cloudy-night,38,0
clear-day,43,0
partly-cloudy-night,33,0
partly-cloudy-day,29,0
cloudy,58,0
clear-night,54,0
rain,61,0.0532
cloudy,73,0
partly-cloudy-day,81,0
clear-day,40,0.0038
fog,67,0
clear-day,41,0
clear-night,50,0
partly-cloudy-day,91,0
clear-night,49,0
clear-day,71,0
clear-day,27,0
partly-cloudy-day,79,0
cloudy,61,0
partly-cloudy-day,81,0
partly-cloudy-night,53,0
cloudy,69,0
partly-cloudy-night,70,0
clear-night,68,0
cloudy,59,0.004
partly-cloudy-day,66,0
clear-night,47,0
clear-night,34,0
clear-day,81,0
clear-night,66,0
clear-day,35,0
partly-cloudy-night,59,0
clear-night,74,0
partly-cloudy-night,64,0
cloudy,49,0
clear-day,54,0
fog,52,0
partly-cloudy-day,71,0
clear-night,37,0
partly-cloudy-night,68,0.0053
clear-day,57,0
snow,32,0.032
partly-cloudy-day,74,0
rain,40,0.0343
rain,55,0.0637
clear-day,34,0
partly-cloudy-day,59,0
rain,58,0.0249
partly-cloudy-night,66,0
clear-night,67,0
partly-cloudy-day,78,0
rain,33,0.0275
clear-day,40,0.0016
clear-night,49,0
rain,56,0.0078
partly-cloudy-night,72,0.0061
cloudy,69,0
cloudy,59,0
clear-day,73,0
cloudy,33,0
clear-day,44,0
clear-day,69,0
cloudy,78,0
rain,48,0.0391
clear-night,41,0
rain,54,0.0329
clear-night,57,0
clear-night,61,0
partly-cloudy-day,81,0
clear-day,31,0
clear-night,48,0
clear-night,58,0
snow,27,0.0083
clear-night,28,0
clear-day,60,0
clear-day,24,0
cloudy,54,0
clear-day,24,0
partly-cloudy-day,47,0
clear-day,86,0
clear-night,66,0
partly-cloudy-night,55,0
clear-day,59,0
partly-cloudy-night,37,0
partly-cloudy-day,81,0
partly-cloudy-night,72,0
clear-night,54,0
partly-cloudy-night,63,0
cloudy,56,0
clear-night,13,0
partly-cloudy-night,37,0
partly-cloudy-day,46,0.0029
rain,67,0.0178
rain,40,0.0855
partly-cloudy-day,53,0
clear-day,68,0
clear-day,20,0
cloudy,63,0
cloudy,47,0
clear-night,64,0
clear-day,72,0
partly-cloudy-day,84,0
cloudy,40,0.0011
partly-cloudy-day,85,0
clear-day,74,0
clear-night,43,0
partly-cloudy-day,55,0
cloudy,54,0.0011
cloudy,42,0
cloudy,58,0.00040
cloudy,26,0.0074
partly-cloudy-day,65,0
clear-night,65,0
clear-night,59,0
partly-cloudy-day,36,0.00070
clear-day,72,0
partly-cloudy-day,64,0
rain,75,0.094
clear-night,56,0
clear-day,38,0
clear-day,66,0
clear-night,28,0
cloudy,36,0
nan,nan,nan
cloudy,52,0
clear-day,34,0.00020
partly-cloudy-day,80,0
cloudy,41,0.0014
clear-night,21,0
clear-day,22,0
partly-cloudy-night,63,0
clear-day,48,0
clear-day,75,0
partly-cloudy-night,49,0
partly-cloudy-night,72,0
clear-night,39,0
